"COMPNAME","pmorigin"
"Ailey","Quartzite"
"Aimeliik","Andesite"
"Ainakea","Basalt"
"Ainsley","Basalt"
"Airmont","Quartzite"
"Airport","Limestone"
"Airstrip","Sandstone and siltstone"
"Ajo","Basalt"
"Akad","Conglomerate"
"Akahipuu","Aa lava"
"Akela","Volcanic rock"
"Akelelu","Pahoehoe lava"
"Akerite","Basalt"
"Akers","Granite"
"Akerue","Rhyolite"
"Akhoni","Sandstone"
"Akihi","Aa lava"
"Akina","Tuff breccia"
"Akinville","Sedimentary rock"
"Akler","Volcanic and sedimentary rock"
"Aladdin","Granite"
"Aladshi","Mixed"
"Alae","Basalt"
"Alaeloa","Basalt"
"Alaga","Sedimentary rock"
"Alahapa","Aa lava"
"Alakai","Basalt"
"Alama","Sandstone and shale"
"Alamaditas","Non-volcanic breccia"
"Alamance","Slate"
"Alambique","Sandstone"
"Alamedawell","Volcanic rock"
"Alamo","Igneous, metamorphic and sedimentary rock"
"Alamoroad","Limestone"
"Alamosa","Igneous, metamorphic and sedimentary rock"
"Alamuchee","Sedimentary rock"
"Alanos","Volcanic rock"
"Alanthus","Greenstone"
"Alapai","Basalt"
"Alarka","Metasedimentary rock"
"Albano","Sandstone and shale"
"Albany","Sedimentary rock"
"Albee","Basalt"
"Albemarle","Metasedimentary rock"
"Albers","Basalt"
"Alberti","Gabbro"
"Albertville","Shale"
"Albinas","Sandstone and shale"
"Albrights","Sandstone and shale"
"Alburz","Rhyolite"
"Albus","Mica schist"
"Alcalde","Shale"
"Alcan","Granite"
"Alchonzo","Monzonite"
"Alcoa","Limestone, sandstone, and shale"
"Alcot","Dacite"
"Alcova","Igneous and metamorphic rock"
"Alcovy","Igneous and sedimentary rock"
"Aldax","Andesite"
"Alden","Granite and gneiss"
"Alder","Sandstone and shale"
"Alderflats","Igneous and metamorphic rock"
"Aldermand","Granite"
"Alderon","Granite"
"Aldi","Volcanic rock"
"Aldine","Igneous, metamorphic and sedimentary rock"
"Aldino","Serpentinite"
"Aledo","Limestone"
"Alegros","Basalt"
"Alemeda","Igneous and sedimentary rock"
"Alesna","Sandstone and shale"
"Alet","Sandstone"
"Alflack","Sandstone"
"Alford","Sedimentary rock"
"Algarrobo","Volcanic and sedimentary rock"
"Algiers","Sedimentary rock"
"Algood","Cherty limestone"
"Alhark","Sandstone"
"Aliante","Sandstone and shale"
"Alibi","Rhyolite"
"Alice","Sandstone and siltstone"
"Alicel","Basalt"
"Aliceville","Limestone"
"Alicia","Metamorphic and sedimentary rock"
"Alikchi","Shale"
"Aline","Sedimentary rock"
"Alire","Gneiss"
"Aljibe","Serpentinite"
"Alkalicreek","Sedimentary rock"
"Alko","Basalt"
"Allagash","Slate"
"Allamore","Sandstone"
"Alldown","Igneous rock"
"Allegheny","Sedimentary rock"
"Allemands","Interbedded sedimentary rock"
"Allen","Sandstone and shale"
"Allendorf","Metamorphic and sedimentary rock"
"Allens Park","Sandstone"
"Allenwood","Sedimentary rock"
"Alley","Mixed"
"Alliance","Calcareous sandstone"
"Alligator","Sedimentary rock"
"Allis","Shale"
"Allker","Mixed"
"Allor","Mixed"
"Almac","Gneiss"
"Almagre","Sandstone"
"Almanor","Volcanic rock"
"Almaville","Limestone"
"Almendra","Igneous, metamorphic and sedimentary rock"
"Almirante","Igneous, metamorphic and sedimentary rock"
"Almo","Sedimentary rock"
"Almota","Basalt"
"Almy","Sandstone and shale"
"Alnult","Granite"
"Alo","Sedimentary rock"
"Alogia","Sandstone and shale"
"Alomax","Andesite"
"Alonso","Volcanic rock"
"Alonzville","Sandstone and shale"
"Alovar","Shale"
"Alpin","Sedimentary rock"
"Alpineco","Mixed"
"Alpinepeak","Granite and gneiss"
"Alpon","Quartzite"
"Alpowa","Basalt"
"Alred","Dolomite"
"Alros","Granite"
"Als","Basalt"
"Alsco","Granite and gneiss"
"Alsea","Igneous and sedimentary rock"
"Alspaugh","Andesite"
"Alstony","Igneous rock"
"Alsup","Shale and siltstone"
"Alta","Granite"
"Altamira","Limestone"
"Altamont","Sandstone and shale"
"Altapeak","Granodiorite"
"Altar","Granite"
"Altaslough","Igneous rock"
"Altavista","Igneous and metamorphic rock"
"Altazano","Fanglomerate"
"Altdorf","Metamorphic rock"
"Altega","Sandstone and shale"
"Altezita","Sandstone"
"Althouse","Metavolcanics"
"Alticrest","Sandstone"
"Alto","Glauconitic sandstone"
"Altoga","Mudstone"
"Alton","Sedimentary rock"
"Altonah","Calcareous sandstone"
"Altuda","Limestone"
"Alturas","Basic igneous rock"
"Altvan","Igneous, metamorphic and sedimentary rock"
"Aluf","Sandstone"
"Alum","Sandstone"
"Alumrock","Sandstone"
"Alusa","Sandstone and shale"
"Alvira","Sandstone and shale"
"Alviso","Sedimentary rock"
"Alvodest","Igneous rock"
"Alyan","Rhyolite"
"Amador","Rhyolite"
"Amal","Shale"
"Amalia","Granite and gneiss"
"Amalu","Basalt"
"Amanda","Sedimentary rock"
"Amarillo","Sedimentary rock"
"Amber","Sedimentary rock"
"Amboat","Welded tuff"
"Ambrant","Granite"
"Ambrosia","Granite"
"Ambush","Volcanic and sedimentary rock"
"Amcec","Cinders"
"Amelar","Limestone, sandstone, and shale"
"Amelia","Igneous rock"
"Amene","Limestone and dolomite"
"Amenia","Limestone"
"Americus","Sedimentary rock"
"Amesha","Calcareous siltstone"
"Amesmont","Granite"
"Amherst","Sandstone and shale"
"Amistad","Limestone"
"Amite","Sedimentary rock"
"Amodac","Shale"
"Amole","Mixed"
"Amook","Granite"
"Amor","Mudstone"
"Amos","Calcareous sandstone"
"Amostown","Mica schist"
"Ampersand","Gneiss"
"Amsden","Sandstone and shale"
"Amtoft","Sedimentary rock"
"Amwell","Igneous rock"
"Amy","Sedimentary rock"
"Anacapa","Sedimentary rock"
"Anaconda","Granite"
"Anaheim","Sandstone and shale"
"Anahuac","Igneous, metamorphic and sedimentary rock"
"Anakeesta","Slate"
"Analulu","Metavolcanics"
"Anamac","Mixed"
"Anapra","Igneous and sedimentary rock"
"Anasazi","Sandstone"
"Anatone","Igneous rock"
"Anaud","Welded tuff"
"Anaverde","Schist"
"Anawalt","Basalt"
"Ancho","Sedimentary rock"
"Anchutz","Igneous, metamorphic and sedimentary rock"
"Anco","Sedimentary rock"
"Andanada","Tuff"
"Andergeorge","Igneous and sedimentary rock"
"Anderly","Basalt"
"Anders","Basalt"
"Anderson","Igneous, metamorphic and sedimentary rock"
"Andok","Igneous, metamorphic and sedimentary rock"
"Andover","Sandstone and shale"
"Andrada","Metamorphic rock"
"Andregg","Granite"
"Andys","Igneous and sedimentary rock"
"Aned","Welded tuff"
"Anela","Sedimentary rock"
"Aneth","Sandstone"
"Anezul","Basalt"
"Angel","Granite"
"Angelbasin","Granite"
"Angelo","Limestone"
"Angelpeak","Argillite"
"Angelpoint","Granite"
"Angelwhine","Basic tuff"
"Angie","Sedimentary rock"
"Angostura","Sandstone"
"Anhalt","Limestone"
"Animas","Andesite"
"Aninto","Quartzite"
"Anita","Volcanic rock"
"Anklam","Igneous rock"
"Annabella","Igneous and sedimentary rock"
"Annaberg","Volcanic rock"
"Annandale","Granite and gneiss"
"Annarose","Sandstone"
"Annaw","Volcanic rock"
"Annella","Volcanic breccia"
"Annemaine","Sedimentary rock"
"Anniecreek","Andesite"
"Anniesdraw","Sandstone and shale"
"Annieville","Metamorphic rock"
"Annisquam","Granite"
"Anniston","Sandstone and shale"
"Annona","Mixed"
"Annum","Granite"
"Anones","Volcanic rock"
"Ansari","Sandstone and shale"
"Ansel","Granite"
"Anselmo","Sandstone and siltstone"
"Ant Flat","Sandstone and shale"
"Antares","Granite"
"Antbed","Igneous rock"
"Antelope Springs","Igneous and sedimentary rock"
"Antelopepeak","Granite"
"Antennapeak","Welded tuff"
"Antho","Schist"
"Antholop","Basalt"
"Anthony","Sandstone and shale"
"Antioch","Sedimentary rock"
"Antoken","Basalt"
"Antonchico","Granite and gneiss"
"Antonito","Basalt"
"Antosa","Sandstone"
"Antrobus","Basalt"
"Anunde","Siltstone"
"Anvik","Metasedimentary rock"
"Apache","Basalt"
"Apalona","Sandstone and shale"
"Aparejo","Sandstone and shale"
"Apikuni","Metamorphic and sedimentary rock"
"Apilam","Andesite"
"Apishapa","Igneous and sedimentary rock"
"Apison","Interbedded sedimentary rock"
"Apmay","Mixed"
"Apollo","Sandstone and siltstone"
"Apperson","Limestone"
"Appian","Mixed"
"Appleriver","Shale"
"Appleseed","Limestone"
"Appleshall","Granite"
"Appleton","Limestone, sandstone, and shale"
"Appling","Granite and gneiss"
"Appomattox","Igneous and metamorphic rock"
"Apron","Calcareous sandstone"
"Apt","Sedimentary rock"
"Aptos","Sandstone and shale"
"Apuki","Pahoehoe lava"
"Aquapeak","Granitoid"
"Aquarius","Volcanic rock"
"Aquima","Sandstone"
"Aquinas","Granite"
"Arabrab","Sandstone"
"Arada","Mixed"
"Aragon","Limestone, sandstone, and shale"
"Arahustan","Andesite"
"Aramburu","Sandstone"
"Aransas","Sedimentary rock"
"Arapien","Limestone, sandstone, and shale"
"Ararat","Tuff breccia"
"Arat","Sedimentary rock"
"Aravaipa","Granite"
"Arave","Sandstone"
"Araveton","Tuff"
"Arawak","Limestone"
"Arbidge","Welded tuff"
"Arbol","Tuff"
"Arbolado","Sedimentary rock"
"Arboles","Sandstone and shale"
"Arbone","Limestone"
"Arbuckle","Metamorphic and sedimentary rock"
"Arburua","Calcareous sandstone"
"Arbus","Limestone"
"Arbutus","Sandstone"
"Arcadian","Basalt"
"Arcata","Sedimentary rock"
"Arcette","Igneous rock"
"Arch","Sedimentary rock"
"Archerdale","Igneous, metamorphic and sedimentary rock"
"Arches","Sandstone"
"Archin","Sedimentary rock"
"Archmesa","Andesite"
"Archrock","Gneiss"
"Archuleta","Sandstone and shale"
"Archwyo","Sedimentary rock"
"Arcia","Igneous and sedimentary rock"
"Arclay","Granite"
"Arcola","Conglomerate"
"Ard","Rhyolite"
"Ardening","Schist"
"Ardenmont","Schist"
"Ardenvoir","Metasedimentary rock"
"Ardilla","Sedimentary rock"
"Ardivey","Mixed"
"Ardnas","Igneous rock"
"Ardtoo","Granite"
"Arecibo","Quartzite"
"Arenales","Volcanic and sedimentary rock"
"Arendtsville","Fanglomerate"
"Arenosa","Sandstone"
"Argabak","Basalt"
"Argee","Siltstone"
"Argenta","Mixed"
"Argonaut","Andesite"
"Argora","Metasedimentary rock"
"Argovar","Diorite"
"Ariel","Sedimentary rock"
"Arikara","Mudstone"
"Aripeka","Limestone"
"Aris","Igneous, metamorphic and sedimentary rock"
"Aristine","Basalt"
"Arivaca","Volcanic rock"
"Arizo","Mixed"
"Ark","Sedimentary rock"
"Arkabutla","Sedimentary rock"
"Arkana","Dolomite"
"Arkaqua","Igneous and metamorphic rock"
"Arkright","Basalt"
"Arkson","Metavolcanics"
"Arland","Sandstone"
"Arle","Sandstone and shale"
"Arlen","Welded tuff"
"Arlington","Granite"
"Arlynda","Mixed"
"Armagh","Clayey shale"
"Armells","Porcellanite"
"Armenia","Gabbro"
"Armenta","Pumice"
"Armesa","Sandstone and shale"
"Armespan","Mixed"
"Armijo","Sandstone and shale"
"Armington","Shale"
"Armistead","Sedimentary rock"
"Armo","Limestone"
"Armoine","Granite"
"Armona","Mixed"
"Armour","Cherty limestone"
"Armpup","Mixed"
"Armuchee","Acid shale"
"Armydrain","Mixed"
"Arnegard","Sedimentary rock"
"Arness","Welded tuff"
"Arnold","Sandstone"
"Arnor","Granite"
"Arnot","Sedimentary rock"
"Arntz","Mudstone"
"Arojomil","Granite and gneiss"
"Arol","Sandstone and siltstone"
"Arp","Schist"
"Arrada","Igneous, metamorphic and sedimentary rock"
"Arrastre","Granite"
"Arriba","Sandstone"
"Arrington","Limestone and siltstone"
"Arriola","Mudstone"
"Arrolime","Limestone and sandstone"
"Arrowhead","Obsidian"
"Arrowpeak","Basalt"
"Arrowrock","Granodiorite"
"Arroyo Seco","Igneous rock"
"Arsite","Shale"
"Arson","Siltite"
"Arta","Sandstone and siltstone"
"Artesia","Volcanic rock"
"Artillery","Granite"
"Artois","Sedimentary rock"
"Artray","Granite"
"Arujo","Granitoid"
"Arundel","Sedimentary rock"
"Arva","Mixed"
"Arvada","Shale"
"Arvana","Sedimentary rock"
"Arveson","Sedimentary rock"
"Arvin","Granite"
"Arwite","Sandstone and shale"
"Arzo","Basalt"
"Asa","Igneous, metamorphic and sedimentary rock"
"Asaayi","Sandstone and shale"
"Asabean","Sandstone and siltstone"
"Asbill","Shale and siltstone"
"Ascalon","Sandstone"
"Ascar","Igneous rock"
"Aschoff","Igneous rock"
"Ash Springs","Mixed"
"Ashbon","Tuff breccia"
"Ashbray","Granite"
"Ashburn","Sandstone and shale"
"Ashcamp","Pyroclastic rock"
"Ashdale","Limestone"
"Ashdos","Pyroclastic rock"
"Ashdown","Igneous and sedimentary rock"
"Ashe","Granite and gneiss"
"Asher","Sedimentary rock"
"Ashfield","Schist"
"Ashflat","Andesite"
"Ashfork","Basalt"
"Ashkum","Calcareous shale"
"Ashlar","Granite and gneiss"
"Ashleylake","Argillite"
"Ashmed","Mixed"
"Asholler","Schist"
"Ashollow","Calcareous sandstone"
"Ashone","Pyroclastic rock"
"Ashport","Sedimentary rock"
"Ashton","Sedimentary rock"
"Ashtre","Pyroclastic rock"
"Ashuelot","Limestone"
"Ashwood","Limestone"
"Ashworth","Sedimentary rock"
"Askew","Sedimentary rock"
"Aslinger","Dolomite"
"Asolt","Volcanic rock"
"Asotin","Basalt"
"Asparas","Limestone"
"Aspen","Metavolcanics"
"Aspenlake","Andesite"
"Aspermont","Calcareous siltstone"
"Aspetill","Igneous and metamorphic rock"
"Aspocket","Andesite"
"Assinniboine","Sandstone"
"Asta","Volcanic rock"
"Astoria","Siltstone"
"Atalaya","Granite"
"Atarque","Sandstone and shale"
"Atasco","Igneous, metamorphic and sedimentary rock"
"Atascosa","Volcanic rock"
"Atastra","Andesite"
"Atchee","Sandstone"
"Atencio","Sandstone and shale"
"Atepic","Shale"
"Ateron","Basalt"
"Atesh","Granite"
"Atherton","Granite and gneiss"
"Athol","Calcareous conglomerate"
"Atkins","Sandstone and shale"
"Atlanta","Limestone"
"Atlatl","Sandstone and siltstone"
"Atlow","Tuff"
"Atmore","Sedimentary rock"
"Atoka","Sedimentary rock"
"Atolladero","Quartzite"
"Atomic","Basalt"
"Atrac","Sedimentary rock"
"Atravesada","Serpentinite"
"Atring","Sandstone"
"Attella","Dolomite"
"Atter","Igneous, metamorphic and sedimentary rock"
"Atterberry","Calcareous shale"
"Attewan","Limestone"
"Atwater","Granite"
"Atwell","Mudstone"
"Au Gres","Granite and gneiss"
"Aubell","Mixed"
"Auberry","Granite"
"Aubrey","Shale"
"Auburn","Schist"
"Auchard","Sedimentary rock"
"Aufco","Mixed"
"Augusta","Igneous and metamorphic rock"
"Augustine","Sandstone and shale"
"Auld","Gabbro"
"Aura","Arkose"
"Aureola","Calcareous sandstone"
"Aurora","Shale"
"Aurum","Limestone"
"Ausmus","Igneous rock"
"Austin","Chalk"
"Austinville","Limestone and shale"
"Aut","Basalt"
"Automal","Limestone and dolomite"
"Auwaiakeakua","Aa lava"
"Auzqui","Limestone and shale"
"Avalon","Sandstone and shale"
"Avant","Chert"
"Avawatz","Granite"
"Avenal","Sedimentary rock"
"Averett","Sandstone and shale"
"Averlande","Metasedimentary rock"
"Avilla","Sandstone and shale"
"Avintaquin","Limestone"
"Avis","Volcanic rock"
"Avon","Limestone and sandstone"
"Avtable","Welded tuff"
"Awbrig","Mixed"
"Awitava","Diorite"
"Awley","Basalt"
"Axford","Basalt"
"Axis","Sedimentary rock"
"Axtell","Mudstone"
"Ayar","Sandstone and shale"
"Aycab","Granite"
"Aydelotte","Clayey shale"
"Ayersville","Mudstone"
"Aymate","Volcanic rock"
"Ayon","Basalt"
"Ayoub","Andesite"
"Ayres","Volcanic rock"
"Ayresbutte","Volcanic rock"
"Aysees","Mixed"
"Azaar","Metamorphic rock"
"Azabache","Sandstone and shale"
"Azeltine","Sandstone"
"Azsand","Sandstone"
"Aztec","Rock gypsum"
"Azule","Sedimentary rock"
"Azulugar","Mixed"
"Azure","Mixed"
"Azureridge","Fanglomerate"
"Azuvina","Granite"
"Azwell","Gneiss"
"Baahish","Limestone"
"Babb","Sedimentary rock"
"Babco","Igneous, metamorphic and sedimentary rock"
"Babelthuap","Andesite"
"Baberwit","Rhyolite"
"Baboon","Igneous rock"
"Baca","Shale and siltstone"
"Bacbuster","Sandstone and shale"
"Bachelor","Sedimentary rock"
"Bacho","Mixed"
"Bachus","Sandstone"
"Backbone","Dolomite"
"Backcanyon","Granitoid"
"Backdoor","Granite"
"Backswitch","Granodiorite"
"Bacliff","Igneous, metamorphic and sedimentary rock"
"Bacobi","Limestone"
"Bacona","Sandstone"
"Baconcamp","Andesite"
"Baconpark","Metamorphic and sedimentary rock"
"Badena","Quartzite"
"Badenaugh","Igneous rock"
"Badge","Basalt"
"Badgercamp","Tuff"
"Badgerflat","Volcanic rock"
"Badgermont","Basalt"
"Badgerpass","Granodiorite"
"Badgerwash","Volcanic rock"
"Badhap","Quartzite"
"Badin","Metavolcanics"
"Badito","Conglomerate"
"Bado","Limestone"
"Badrock","Volcanic rock"
"Badwater","Andesite"
"Bagard","Sandstone and shale"
"Bagaul","Phyllite"
"Bagley","Volcanic and sedimentary rock"
"Bagmont","Gneiss"
"Bagtown","Quartzite"
"Bagval","Volcanic rock"
"Bahia","Volcanic and sedimentary rock"
"Bahia Salinas","Volcanic rock"
"Bahl","Shale"
"Bahner","Dolomite"
"Baile","Mica schist"
"Bailegap","Sandstone"
"Bailey","Rhyolite"
"Baileycreek","Andesite"
"Bainville","Sandstone and siltstone"
"Baird Hollow","Sandstone and siltstone"
"Bairs","Granite"
"Bairspring","Siltstone"
"Bajura","Volcanic and sedimentary rock"
"Bakeoven","Basalt"
"Bakerpeak","Limestone and shale"
"Bakersfield","Granitoid"
"Bakscratch","Granite"
"Balcher","Basalt"
"Balcom","Sandstone and shale"
"Bald","Basalt"
"Baldeagle","Metamorphic rock"
"Balder","Granodiorite"
"Baldfield","Shale"
"Baldknob","Quartzite"
"Baldmountain","Metasedimentary rock"
"Baldridge","Andesite"
"Baldy","Rhyolite"
"Bale","Igneous rock"
"Balhud","Sandstone and shale"
"Balkyhorse","Granite"
"Ballard","Sandstone"
"Ballast","Calcareous shale"
"Baller","Sandstone"
"Ballinger","Mudstone"
"Ballona","Sedimentary rock"
"Balltown","Limestone"
"Ballvar","Sedimentary rock"
"Balman","Mixed"
"Balmorhea","Sedimentary rock"
"Balsam","Igneous and metamorphic rock"
"Baltimore","Mica schist"
"Bama","Sedimentary rock"
"Bamac","Igneous and sedimentary rock"
"Bamber","Andesite"
"Bamos","Igneous rock"
"Bamtush","Metasedimentary rock"
"Banaderu","Limestone"
"Banbury","Basalt"
"Bancas","Mica schist"
"Bancy","Welded tuff"
"Bandag","Limestone and sandstone"
"Bandana","Igneous and metamorphic rock"
"Bandarito","Shale and siltstone"
"Bandarrow","Mixed"
"Bandera","Volcanic and sedimentary rock"
"Bandmill","Basalt"
"Bandon","Sedimentary rock"
"Bandy","Granite and gneiss"
"Bane","Granite"
"Bango","Mixed"
"Bangor","Phyllite"
"Bangston","Granite and gneiss"
"Bangtail","Sandstone and shale"
"Banister","Igneous and metamorphic rock"
"Bankard","Sedimentary rock"
"Bankhead","Sandstone"
"Bankston","Limestone"
"Banner","Basalt"
"Bannertown","Granite and gneiss"
"Banning","Mixed"
"Bannion","Igneous rock"
"Banquete","Igneous, metamorphic and sedimentary rock"
"Banquito","Basalt"
"Bapos","Mixed"
"Baraboo","Quartzite"
"Barana","Shale and siltstone"
"Barasco","Mixed"
"Barbarela","Gneiss"
"Barbarosa","Limestone"
"Barbary","Sedimentary rock"
"Barbercreek","Mixed"
"Barboncito","Sandstone and shale"
"Barbour","Sedimentary rock"
"Barbourville","Sandstone and shale"
"Barco","Sandstone and shale"
"Barcus","Sandstone and shale"
"Bard","Limestone and dolomite"
"Barden","Shale"
"Bardley","Dolomite"
"Barela","Basalt"
"Bareranch","Pyroclastic rock"
"Barfan","Tuff"
"Barfield","Limestone"
"Bargamin","Basalt"
"Barger","Limestone"
"Bargeville","Quartzite"
"Barhiskey","Dacite"
"Bario","Basalt"
"Barishman","Shale"
"Barkcamp","Interbedded sedimentary rock"
"Barkers Crossroads","Granite and gneiss"
"Barkerville","Granite"
"Barkley","Basalt"
"Barkof","Shale"
"Barkshanty","Phyllite"
"Barling","Sandstone and siltstone"
"Barnabe","Sandstone"
"Barnard","Mixed"
"Barneycreek","Mixed"
"Barnmot","Mixed"
"Barnum","Sedimentary rock"
"Baroid","Igneous, metamorphic and sedimentary rock"
"Barpeak","Mica schist"
"Barrada","Igneous, metamorphic and sedimentary rock"
"Barrett","Shale"
"Barrier","Mixed"
"Barron","Granite"
"Barrymore","Basalt"
"Bartine","Dolomite"
"Bartlesville","Sandstone"
"Bartley","Limestone"
"Bartmus","Volcanic rock"
"Bartome","Volcanic rock"
"Barvon","Calcareous sandstone"
"Barx","Sandstone"
"Basaltlake","Acidic volcanic breccia"
"Bascal","Limestone"
"Basco","Sandstone and shale"
"Bascom","Sedimentary rock"
"Bascovy","Shale"
"Basehor","Sandstone"
"Baseline","Limestone"
"Bash","Sandstone and shale"
"Bashaw","Basalt"
"Basher","Sedimentary rock"
"Basile","Igneous, metamorphic and sedimentary rock"
"Basin","Sedimentary rock"
"Basincreek","Granite"
"Basinpeak","Granite"
"Basket","Metasedimentary rock"
"Bassel","Conglomerate"
"Bassfield","Sedimentary rock"
"Bastian","Mixed"
"Baston","Shale"
"Bastrop","Sandstone and shale"
"Bastsil","Sandstone and shale"
"Bata","Sandstone and siltstone"
"Batan","Volcanic rock"
"Bateman","Sandstone and siltstone"
"Bates","Sandstone and shale"
"Bateson","Granite"
"Bathel","Sedimentary rock"
"Batson","Igneous, metamorphic and sedimentary rock"
"Batterson","Sandstone"
"Battery","Mixed"
"Battle Creek","Limestone and sandstone"
"Battleax","Igneous rock"
"Battlebutte","Welded tuff"
"Battlement","Limestone, sandstone, and shale"
"Battlerock","Sandstone and shale"
"Baumgard","Andesite"
"Bauscher","Igneous rock"
"Baux","Porcellanite"
"Bauxson","Porcellanite"
"Bavdark","Granite"
"Baviza","Igneous rock"
"Baxter","Cherty limestone"
"Baxterville","Sedimentary rock"
"Baxton","Granite"
"Baxtrum","Sandstone and shale"
"Bayamon","Igneous, metamorphic and sedimentary rock"
"Bayard","Calcareous sandstone"
"Bayboro","Sedimentary rock"
"Bayerton","Sandstone"
"Bayfield","Sandstone and shale"
"Bayhorse","Igneous rock"
"Bayou","Sedimentary rock"
"Bays","Calcareous shale"
"Bayshore","Calcareous sandstone"
"Bayview","Sandstone"
"Baywood","Gneiss"
"Bazette","Clayey shale"
"Beach","Sandstone"
"Beachcanyon","Igneous and sedimentary rock"
"Bead","Sandstone and shale"
"Beal","Granodiorite"
"Bealand","Limestone"
"Beam","Calcareous conglomerate"
"Beancreek","Calcareous sandstone"
"Beano","Mixed"
"Bear Creek","Igneous, metamorphic and sedimentary rock"
"Bear Lake","Mixed"
"Bearbou","Shale and siltstone"
"Bearbutte","Basalt"
"Bearcamp","Metasedimentary rock"
"Bearcat","Mudstone"
"Beargulch","Mica schist"
"Bearhat","Volcanic rock"
"Bearknob","Rhyolite"
"Bearmouth","Gneiss"
"Bearpawmeadow","Andesite"
